name;verse;movie
ARAGORN;What?;The Two Towers
ARAGORN;Not a word.;The Two Towers
ARAGORN;Hurry! Inside. Get them inside;The Two Towers
ARAGORN;Pendraith!;The Two Towers
ARAGORN;Swords! Swords!;The Two Towers
ARAGORN;Causeway;The Two Towers
ARAGORN;Gimli;The Two Towers
ARAGORN;Hado i philinn!;The Two Towers
ARAGORN;Gimli, where is the king?;The Two Towers
ARAGORN;Hannon le.;The Two Towers
ARAGORN;All lsengard is emptied.;The Two Towers
ARAGORN;Ten thousand strong at least.;The Two Towers
ARAGORN;It is an army bred for a single purpose To destroy the world of Men. They will be here by nightfall.;The Two Towers
ARAGORN;They do not come to destroy Rohan's crops or villages. They come to destroy its people.down to the last child.;The Two Towers
ARAGORN;Send out riders, my lord. You must call for aid;The Two Towers
ARAGORN;Gondor will answer.;The Two Towers
ARAGORN;Arwen....;The Two Towers
ARAGORN;But never more than memory.;The Two Towers
ARAGORN;She stays because she still has hope.;The Two Towers
ARAGORN;I am mortal. You are Elf-kind.t was a dream, Arwen.;
ARAGORN;This belongs to you.;The Two Towers
ARAGORN;She is sailing to the Undying Lands with all that is left of her kin.;The Two Towers
ARAGORN;You have some skill with a blade.;The Two Towers
ARAGORN;What do you fear, my lady?;The Two Towers
ARAGORN; You're a daughter of kings.a shieldmaiden of Rohan. do not think that would be your fate;The Two Towers
ARAGORN;Warg! We're under attack;The Two Towers
ARAGORN;Get them out of here;The Two Towers
ARAGORN;It's the beards;The Two Towers
ARAGORN;You have 2000 good men riding north as we speak. Eomer is loyal to you. His men will return and fight for their king.;The Two Towers
ARAGORN;Open war is upon you, whether you would risk it or not.;The Two Towers
ARAGORN;He's only doing what he thinks is best for his people. Helm's Deep has saved them in the past.;The Two Towers
ARAGORN;He's not alone. Sam went with him.;The Two Towers
ARAGORN;Thank youIt's good.;The Two Towers
ARAGORN;King Theoden has a good memory. He was only a small child at the time.;The Two Towers
ARAGORN;Eighty-seven.;The Two Towers
ARAGORN;There are few of us left. The Northern Kingdom was destroyed long ago.;The Two Towers
ARAGORN;They will hold.;The Two Towers
ARAGORN;Go.;The Two Towers
ARAGORN;Brego., in nama is cynglic. (,);The Two Towers
ARAGORN;Man le trasta, Brego? Man cenich? (,);The Two Towers
ARAGORN;I was raised in Rivendell.for a time.Turn this fellow free. He's seen enough of war.;The Two Towers
ARAGORN;Not idly do the leaves of Lorien fall.;The Two Towers
ARAGORN;Rohan. Home of the Horse-lords. There's something strange at work here.Some evil gives speed to these creatures. Sets its will against us.;The Two Towers
ARAGORN;Legolas! What do your Elf-eyes see?;The Two Towers
ARAGORN;Saruman.;The Two Towers
ARAGORN;The beacons of Minas Tirith! The beacons are lit!;The Return of the King
ARAGORN;Gondor calls for aid.;The Return of the King
ARAGORN;Men of the South are welcome here;The Fellowship of the Ring
ARAGORN;I'm a friend of Gandalf the Grey;The Fellowship of the Ring
ARAGORN;Riders of Rohan.what news from the Mark?;The Two Towers
ARAGORN;I am Aragorn, son of Arathorn. This is Gimli, son of Gloin, and Legolas of the Woodland Realm. We are friends of Rohan and of Theoden, your king.;The Two Towers
ARAGORN;Do you ride with us?;The Return of the King
ARAGORN; Haldir;The Fellowship of the Ring
ARAGORN; That! was not so courteous;The Fellowship of the Ring
ARAGORN;Boe ammen veriad l?n. Andelu i ven!;The Fellowship of the Ring
ARAGORN;Merin le telim;The Fellowship of the Ring
ARAGORN; Andelu i ven.;The Fellowship of the Ring
ARAGORN;Move your feet;The Fellowship of the Ring
ARAGORN;Gentlemen, that's enough!;The Fellowship of the Ring
ARAGORN;The same blood flows in my veins The same weakness;The Fellowship of the Ring
ARAGORN;Nauthannem i ned ol reniannen.;The Fellowship of the Ring
ARAGORN;You said you would bind yourself to me,foresaking the immortal life of your people;The Fellowship of the Ring
ARAGORN;You cannot give me this;The Fellowship of the Ring
ARAGORN;We are no spies. We track a party of Uruk-hai westward across the plain. They have taken two of our friends captive.;The Two Towers
ARAGORN;They would be small. Only children to your eyes.;The Two Towers
ARAGORN;Aaaaagh;The Two Towers
ARAGORN;These are strange tracks.;The Two Towers
ARAGORN;Gimli! Lower your axe.;The Two Towers
ARAGORN;Hide!;The Fellowship of the Ring
ARAGORN; Frodo! Take cover;The Fellowship of the Ring
ARAGORN;Frodo!;The Fellowship of the Ring
ARAGORN;Boromir;The Fellowship of the Ring
ARAGORN; Boromir Give the Ring to Frodo;The Fellowship of the Ring
ARAGORN;You cannot wield it. None of us can,The One Ring answers to Sauron alone. It has no other master;The Fellowship of the Ring
ARAGORN;Havo dad, Legolas (,.);The Fellowship of the Ring
ARAGORN;A Hobbit lay here. And the other.;The Two Towers
ARAGORN;They crawled Their hands were bound.;The Two Towers
ARAGORN;Their bonds were cut.;The Two Towers
ARAGORN;They ran over here. They were followed;The Two Towers
ARAGORN;...into Fangorn Forest.;The Two Towers
ARAGORN;Wait.;The Two Towers
ARAGORN;Man cenich?;The Two Towers
ARAGORN;Do not let him speak. He will put a spell on us.;The Two Towers
ARAGORN;We must be quick.;The Two Towers
ARAGORN;Where are they?;The Two Towers
ARAGORN;Who are you? Show yourself;The Two Towers
ARAGORN;It cannot be.;The Two Towers
ARAGORN;You fell.;The Two Towers
ARAGORN;The Mines are no place for a pony even one so brave as Bill.;The Fellowship of the Ring
ARAGORN;Go on, go onDon't worry Sam. He knows the way home);The Fellowship of the Ring
ARAGORN; Do not disturb the water;The Fellowship of the Ring
ARAGORN;He's trying to bring down the mountain! Gandalf! We must turn back;The Fellowship of the Ring
ARAGORN;The Gap of Rohan takes us too close to Isengard;The Fellowship of the Ring
ARAGORN;No, my lord! No, my lord. Let him go. Enough blood has been spilt on his account.;The Two Towers
ARAGORN;Gandalf.;The Two Towers
ARAGORN;We hear of trouble in Rohan.t goes ill with the king.;The Two Towers
ARAGORN;In one thing you have not changed, dear friend.,You still speak in riddles.;The Two Towers
ARAGORN; No news of Frodo?;The Return of the King
ARAGORN;We have time. Every day Frodo moves closer to Mordor.;The Return of the King
ARAGORN; What does your heart tell you?;The Return of the King
ARAGORN;Night changes many thoughts. Sleep Eowyn. Sleep while you can.;The Return of the King
ARAGORN;Get back! and stay close to Gandalf.;The Fellowship of the Ring
ARAGORN;Pull;The Fellowship of the Ring
ARAGORN;I will go;The Return of the King
ARAGORN;Merry!;The Return of the King
ARAGORN;You will not enter Gondor;The Return of the King
ARAGORN;Out!;The Return of the King
ARAGORN;I am asleep.,This is a dream.;The Two Towers
ARAGORN;Tracks lead away from the battle...;The Two Towers
ARAGORN;They must be warned;The Return of the King
ARAGORN;One thing I've learnt about Hobbits They are a most hardy folk.;The Return of the King
ARAGORN;Six thousand will not be enough to break the lines of Mordor.;The Return of the King
ARAGORN;Sauron will not have forgotten the sword of Elendil.;The Return of the King
ARAGORN;The blade that was broken shall return to Minas Tirith.;The Return of the King
ARAGORN;Not this time. This time you must stay Gimli.;The Return of the King
ARAGORN;Dago hon! Dago hon!;The Two Towers
ARGORN;Their pace has quickened, They must have caught our scent. Hurry;The Two Towers
ARGORN;Less than a day ahead of us. Come.;The Two Towers
ARMY;DEATH!;The Return of the King
ARWEN;May the grace of the Valar protect you;The Two Towers
ARWEN;I have made my choice.;The Two Towers
ARWEN;There is still hope.;The Two Towers
ARWEN;Then it is a good dreamSleep.;The Two Towers
ARWEN;Why are you saying this?;The Two Towers
ARWEN;I don't believe you;The Two Towers
ARWEN;It was a gift. Keep it.;The Two Towers
ARWEN;Why do you fear the past. You are Isildur's heir, not Isildur himself. You are not bound to his fate;The Fellowship of the Ring
ARWEN; Your time will come. You will face the same evil and you will defeat it;The Fellowship of the Ring
ARWEN;and to that I hold. I would rather share one lifetime with you than face all the ages of this world alone;The Fellowship of the Ring
ARWEN;I choose a mortal life;The Fellowship of the Ring
ARWEN;It is mine to give to whom I will. Like my heart;The Fellowship of the Ring
ARWEN;What's this ? a Ranger caught off his guard ?;The Fellowship of the Ring
ARWEN;Frodo I'm Arwen. Telin le thaed. Lasto beth nin. Tolo dan na galad;The Fellowship of the Ring
ARWEN;Frodo;The Fellowship of the Ring
ARWEN;He's fading;The Fellowship of the Ring
ARWEN;He's not going to last. We must get him to my father;The Fellowship of the Ring
ARWEN;I've been looking for you for two days There are five wraiths behind you, where the other four are I do not know;The Fellowship of the Ring
ARWEN;Hon mabathon. Rochon ellint im.;The Fellowship of the Ring
ARWEN;Frodo f?r. Ae athradon i hir, tur gwaith nin beriatha hon.;The Fellowship of the Ring
ARWEN;Tell me what you have seen.;The Return of the King
ARWEN;You have the gift of foresight. What did you see?;The Return of the King
ARWEN;But there is also life. You saw there was a child. You saw my son.;The Return of the King
ARWEN;But it is not lost.;The Return of the King
ARWEN;If I leave him now, I will regret it forever. It is time.;The Return of the King
ARWEN;From the ashes of fire shall be woken, A light from the shadow shall spring, Renewed shall be blade that was broken,The crownless again shall be king.;The Return of the King
ARWEN;Reforge the sword, ada.;The Return of the King
ARWEN;This was my choice. Ada, whether by your will or not there is no ship now that can bear me hence.;The Return of the King
ARWEN;Some things are certain.;The Return of the King
ARWEN;The light of the Evenstar does not wax and wane.t is mine to give to whom I will. Like my heart. Go to sleep.;The Two Towers
BARLIMAN;Gandalf ?Gandalf ? Oh yes! I remember! Elderly chap! Big grey beard, pointy hat. Not seen him for six months;The Fellowship of the Ring
BARLIMAN;Good Evening little masters. What can I do for you ? If you're looking for accomodation, we've got some nice, cosy hobbit sized rooms available. Always proud to cater to the little folk, Mr err... ?;The Fellowship of the Ring
BARLIMAN;He's one of them rangers. They're dangerous folk they are. Wandering the wilds. What his right name is, I've never heard, but round here, he's known as Strider.;The Fellowship of the Ring
BARLIMAN;Underhill yes..;The Fellowship of the Ring
BILBO;Tell me again lad, where are we going?;The Return of the King
BILBO;Frodo, any chance of seeing that old Ring of mine again? The one I gave you?;The Return of the King
BILBO;Oh, pity. (He sighs.) I would have like to have held it one last time;The Return of the King
BILBO;Oh! Well here is a sight I have never seen before;The Return of the King
BILBO;I think I'm quite ready for another adventure;The Return of the King
BILBO;My old sword, Sting Here, take it, take it.;The Fellowship of the Ring
BILBO;Yes Yes Made by the elves you know. The blade glows blue when orcs are close and its times like that my lad, when you have to be extra careful.,Here's a pretty thing Mithril as light as a feather and as hard as dragon scales. Let me see you put it on, go on.;The Fellowship of the Ring
BILBO; My my old ring. Well I should... very much like to hold it again, one last time;The Fellowship of the Ring
BILBO;I'm sorry I brought this upon you my boy, I'm sorry that you must carry this burdenI'm sorry for everything;The Fellowship of the Ring
BILBO;Hello, Hello, Fatty BolgerLovely to see you, Welcome, Welcome;The Fellowship of the Ring
BILBO; So there I was at the mercy of three monstrous trolls and they were all arguing amongst themselves about how they were going to cook us. Whether it be turned on a spit or whether they should sit on us one by one and squash us into jellyThey spent so much time arguing the witherto's and whyfor's that the sun's first light cracked open over the top of the trees. Poof and turned them all into stone;The Fellowship of the Ring
BILBO;Mrs Bracegirdle, how nice to see you. Welcome welcome. Are all these children yours ?;The Fellowship of the Ring
BILBO;Good gracious you have been productive;The Fellowship of the Ring
BILBO; Sackville-Bagginses! Quickly! Hide;The Fellowship of the Ring
BILBO;Oh! Thankyou my boy You're a good lad Frodo. I'm very selfish you knowYes, I am. Very selfish. I don't know why I took you in after your mother and father died, but it wasn't out of charity. I think it was because, of all my numerous relations, you were the one Baggins that showed real spirit.;The Fellowship of the Ring
BILBO;No. Well yes, b b b but thats not the point. The point is, Frodo,You'll be alright;The Fellowship of the Ring
BILBO;A Ring!;The Fellowship of the Ring
BILBO;The 22nd day of September in the year 1400,by Shire reckoning Bag End, Bagshot Row, Hobbiton, West Farthing, The Shire, Middle Earth., The Third Age of this world;The Fellowship of the Ring
BILBO;There and back again, A Hobbit's tale, by Bilbo BagginsNow, where to begin? Ah, yesConcerning Hobbits;The Fellowship of the Ring
BILBO; Frodo, someone at the doorIn fact, it has been remarked by some that Hobbits, only real passion is for food., A rather unfair observation, As we have also developed a keen interest in the brewing of ales,and the smoking of pipeweed But where our hearts truly lie is in peace and quietand good tilled earthFor all Hobbits share a love of all things that grow.,And yes, no doubt to others, our ways seem quaint, But today of all days, it is brought home to me it is no bad thing to celebrate a simple life;The Fellowship of the Ring
BILBO;Frodo, the door! sticklebacks, where is that boy! FRODO!;The Fellowship of the Ring
BILBO;Dragon! Nonsense, there hasn't been a dragon in these parts for a thousand years.;The Fellowship of the Ring
BILBO;My dear Bagginses and Boffins,Tooks and Brandybucks, Grubbs, Chubbs,, Hornblowers, Bulgers, Bracegirdles, and Proudfoots;The Fellowship of the Ring
BILBO;And there always will be.;The Fellowship of the Ring
BILBO;Where's it gone?;The Fellowship of the Ring
BILBO;Aaaaah;The Fellowship of the Ring
BILBO;Today is my One Hundred and Eleventh birthday;The Fellowship of the Ring
BILBO;Alas, elevnty-one years is far too short a time to live among such excellent and admirable hobbits., I don't know half of you half as well as I should like and I like less than half of you, half as well as you deserve.;The Fellowship of the Ring
BILBO;Gandalf?;The Fellowship of the Ring
BILBO;My dear Gandalf!;The Fellowship of the Ring
BILBO;Come on, come in! Welcome, welcome. Oh, here we are.;The Fellowship of the Ring
BILBO;Tea or maybe something a little stronger? I've got a few bottles of the Old Winyard left, 1296, a very good year, almost as old as I am.;The Fellowship of the Ring
BILBO;It was laid down by my father, what say we open one eh?;The Fellowship of the Ring
BILBO;I was expecting you sometime last week. Not that it matters you come and go as you please. Always have done and always will.;The Fellowship of the Ring
BILBO; I'm not at home! it's the Sackville-Bagginses.;The Fellowship of the Ring
BILBO;they're after the house! They?ve never forgiven me for living this long. I've got to get away from these confounded relatives hanging on the bell all day, never giving me a moment's peace I want to see mountains again, mountains Gandalf And then find somewhere quiet where I can finish my book. Oh, tea;The Fellowship of the Ring
BILBO;Yes, yes, it's all in hand. All the arrangements are made Oh, thank you.;The Fellowship of the Ring
BILBO;Of course he does, He's a Baggins, not some blockheaded Bracegirdle from Hardbottle;The Fellowship of the Ring
BILBO;Yes, yes.;The Fellowship of the Ring
BILBO;I know, he'd probably come with me if I asked him to. I think in his heart Frodo's still in love with the Shire, the woods, the fields and the little rivers. I am old Gandalf. I know I don't look it, but I'm beginning to feel it in my heart I feel thin, sort of stretched like butter scraped over too much bread. I need a holiday, a very long holiday. And I don't expect that I shall return. In fact, I mean not to.;The Fellowship of the Ring
BILBO;Old Toby, the finest weed in the Southfarthing.;The Fellowship of the Ring
BILBO;Gandalf my old friend, this will be a night to remember.;The Fellowship of the Ring
BILBO;What's this?;The Fellowship of the Ring
BILBO;Hobbits have been living and farming in the four Farthings of the Shire for many hundreds of years quite content to ignore and be ignored by the world of the Big Folk Middle Earth being, after all, full of strange creatures beyond count. Hobbits must seem of little importance, being neither renowned as great warriors, nor counted amongst the very wise;The Fellowship of the Ring
BILBO;And so life in the Shire goes on, very much as it has this past age Full of its own comings and goings with change coming slowly, if it comes at allFor things are made to endure in the Shire, passing from one generation to the next. There's always been a Baggins living here under the Hill, in Bag End;The Fellowship of the Ring
BILBO; No thank you! We don't want any more visitors, well wishers or distant relations;The Fellowship of the Ring
BILBO;you've caught me a bit unprepared I'm afraid urm we?ve only got cold chicken and a bit of pickle oh and There's some cheese here, oh no that wont do! Urm we?ve got raspberry jam, an apple tart, but we?ve not much for afters. Oh no We're all right, I've found some sponge cake! I can make you some eggs if you,oh? Gandalf?;The Fellowship of the Ring
BILBO;Oh right You don't mind if I do, do you?;The Fellowship of the Ring
BOROMIR;This city was once the jewel of our kingdom. A place of light and beauty and music. And so it shall be once more!Let the armies of Mordor know this Never again will the land of my people fall into enemy hands.,This city of Osgiliath has been reclaimedfor Gondor;The Two Towers
BOROMIR;For Gondor;The Two Towers
BOROMIR;For Gondor;The Two Towers
BOROMIR;Leaves more time for drinking!Break out the ale! These men are thirsty;The Two Towers
BOROMIR;Remember today, little brother. Today, life is good.;The Two Towers
BOROMIR;What?;The Two Towers
BOROMIR; One moment of peace, can he not give us that?;The Two Towers
BOROMIR;Father;The Two Towers
BOROMIR;They exaggerate. The victory belongs to Faramir also;The Two Towers
BOROMIR;You give him no credit, and yet he tries to do your will.;The Two Towers
BOROMIR;He loves you, Father.;The Two Towers
BOROMIR;The One Ring. lsildur's Bane.;The Two Towers
BOROMIR; Gondor.;The Two Towers
BOROMIR;No. My place is here with my peopleNot in Rivendell.;The Two Towers
BOROMIR;Remember today, little brother;The Two Towers
BOROMIR;You are no elf;The Fellowship of the Ring
BOROMIR; Who are you ?;The Fellowship of the Ring
BOROMIR; Then we are here on a common purpose friend.;The Fellowship of the Ring
BOROMIR;The shards of Narsil The blade that cut the Ring from Sauron's hand Ah!Its still sharp but no more than a broken heirloom;The Fellowship of the Ring
BOROMIR;Good, very good;The Fellowship of the Ring
BOROMIR;Sorry!;The Fellowship of the Ring
BOROMIR; So it's true;The Fellowship of the Ring
BOROMIR;In a dream I saw the Eastern sky grow darkIn the West a pale light lingered A voice was crying, your doom is near at hand Isildur's bane is found, Isildur's Bane;The Fellowship of the Ring
BOROMIR;Its moving fast....against the wind;The Fellowship of the Ring
BOROMIR;Hurry;The Fellowship of the Ring
BOROMIR;It is a strange fate that we should suffer so much fear and doubt over so small a thingsuch a little thing;The Fellowship of the Ring
BOROMIR; as you wish! I care not;The Fellowship of the Ring
BOROMIR; Aye it is a gift!A gift to the foes of Mordor. Why not use this Ring ? Long has my father, the Steward of Gondor kept the forces of Mordor at bey. By theof our people are your lands kept safe. Give Gondor the weapon of the enemy, let us use it against him;The Fellowship of the Ring
BOROMIR;and what would a ranger know of this matter ?;The Fellowship of the Ring
BOROMIR; Aragorn! This.. is Isildur's heir;The Fellowship of the Ring
BOROMIR;Gondor has no King Gondor needs no King;The Fellowship of the Ring
BOROMIR;We must get off the mountain! Make for the Gap of Rohan and take the west road to my city;The Fellowship of the Ring
BOROMIR;One does not simply walk into Mordor. Its black gates are guarded by more than just orcs. There is evil there that does not sleep and the great eye is ever watchful. Tis a barren wasteland, riddled with fire and ash and dust. The very air you breathe is a poisonous fume. Not with ten thousand men could you do this.,It is folly;The Fellowship of the Ring
BOROMIR;and if we fail what then ? What happens when Sauron takes back what is his ?;The Fellowship of the Ring
BOROMIR; This isn't a mine, it's a tomb;The Fellowship of the Ring
BOROMIR;We make for the gap of Rohan. We should never have come here;The Fellowship of the Ring
BOROMIR;Now get out of here! Get out;The Fellowship of the Ring
BOROMIR;We cannot stay here!This will be the death of the hobbits;The Fellowship of the Ring
BOROMIR;Legolas!;The Fellowship of the Ring
BOROMIR;They have a cave troll;The Fellowship of the Ring
BOROMIR; No! No;The Two Towers
DEAGOL;Oh Smeagol Ive got one! Ive got a fish Smeagol, Smeagol!;The Return of the King
DEAGOL;Arrghh!;The Return of the King
DEAGOL;Why?;The Return of the King
DENETHOR;Set a fire in our flesh!;The Return of the King
DENETHOR;NOOOOOO, you will not take my son from me!;The Return of the King
DENETHOR;Faramir!;The Return of the King
DENETHOR;Aaaaaahhhh!;The Return of the King
DENETHOR;Faramir! Say not that he has fallen;The Return of the King
DENETHOR; The house of Stewards has failed;The Return of the King
DENETHOR;My line has ended!;The Return of the King
DENETHOR;Rohan has deserted us!;The Return of the King
DENETHOR;Theoden's betrayed me! ABANDON YOUR POSTS!FLEE! FLEE FOR YOUR LIVES!;The Return of the King
DENETHOR;I will not yield the River and Pellenor unfought. Osgiliath must be retaken.;The Return of the King
DENETHOR;Much must be risked in war. Is there a Captain here who still has the courage to do his lord's will?;The Return of the King
DENETHOR;Can you sing Master Hobbit?;The Return of the King
DENETHOR;Ever you desire to appear lordly and gracious as a King of old. Boromir would have remembered his father's need. He would have brought me a kingly gift;The Return of the King
DENETHOR;My son! Leave me!;The Return of the King
DENETHOR;They say you vanquished the enemy almost single-handedly.;The Two Towers
DENETHOR;But for Faramir, this city would still be standing.;The Two Towers
DENETHOR;Were you not entrusted to protect it?;The Two Towers
DENETHOR;Oh, too few. You let the enemy walk in and take it on a whim. Always you cast a poor reflection on me.;The Two Towers
DENETHOR;Do not trouble me with Faramir.I know his uses, and they are few. We have more urgent things to speak of. Elrond of Rivendell has called a meeting. He will not say why, but I have guessed its purpose. It is rumored that the weapon of the enemy has been found.;The Two Towers
DENETHOR;lt has fallen into the hands of the Elves. Everyone will try to claim it Men, Dwarves, wizards. We cannot let that happen. This thing must come to Gondor.;The Two Towers
DENETHOR; It's dangerous, I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But you, you are strong.,And our need is great. It is our blood which is being spilled, our people who are dying. Sauron is biding his time. He's massing fresh armies. He will return. And when he does, we will be powerless to stop him. You must go.,Bring me back this mighty gift,.;The Two Towers
DENETHOR;Would you deny your own father?;The Two Towers
DENETHOR;You? Oh, I see. A chance for Faramir, captain of Gondor, to show his quality. I think notI trust this mission only to your brother. The one who will not fail me.;The Two Towers
DENETHOR;No tomb for Denethor and Faramir. No long slow sleep of death ;
DENETHOR;The house of his spirit crumbles., He is burning. Already burning;The Return of the King
DENETHOR;Farewell Peregrin son of Paladin.;The Return of the King
DENETHOR;I release you from my serviceGo now and die and what way seems best to you;The Return of the King
DENETHOR;Perhaps you come to explain this;The Return of the King
DENETHOR;This is my first command to you. How did you escape and my son did not? So mighty as man as he was.;The Return of the King
DENETHOR;You think you are wise Mithrandir. Yet for all your subtleties you have not wisdom. Do you think the eyes of the White Tower are blind? I have seen more than you know. With your left hand you would use me as a shield against Mordor and with your right you would seek to supplant me. I know who rides with Theoden of Rohan. Oh yes, word has reached my ears of this Aragorn, son of Arathorn. And I tell you now. I will not bow to this Ranger from the North. Last of a ragged house long bereft of Lordship;The Return of the King
DENETHOR;The rule of Gondor is mine and no others;The Return of the King
DENETHOR;You may triumph in the field of battle for a day, but against the power that has risen in the east, there is no victory!;The Return of the King
DENETHOR;My sons are spent! My line has ended!;The Return of the King
DENETHOR;Where is he? Where is Gondor's finest? Where's my first-born?;The Two Towers
DENETHOR;I am steward of the house of An?rion. Thus have I walked, and thus now  will sleep;The Return of the King
DENETHOR;Perhaps you have come to tell me why my son is dead.;The Return of the King
DENETHOR;Gondor is lost. There is no hope for men Why do the fools fly? Better to die sooner than late. For die we must;The Return of the King
DENETHOR;Yes, I wish that.;The Return of the King
DENETHOR;This is how you would serve your city? You would risk its utter ruin?;The Return of the King
DENETHOR;What you judged to be right! You sent the Ring of power into Mordor in the hands of a witless Halfling! It should have been brought back to the citadel to be kept safe. Hidden. Dark and deep in the vaults, not to be used. unless, at the uttermost end of need.;The Return of the King
DENETHOR;And why should your songs be unfit for my halls? Come, sing me a song.;The Return of the King
DENETHOR;You know nothing of this matter;The Return of the King
DENETHOR; Boromir was loyal to me! Not some wizard's pupil.;The Return of the King
DENETHOR;And I shall not forget it nor fail to reward that which is given., Fealty with love. Valour with honour. Disloyalty with vengeance.,I do not think we should so lightly abandon the outer defences. Defences that your brother long held intact.;The Return of the King
DENETHOR;That will depend on the manner of your return.;The Return of the King
ELROND;I Aear cun ven na mar;The Return of the King
ELROND;I come on behalf of one whom I love. Arwen is dying. She will not long survive the evil that now spreads from Mordor. The light of the evenstar is failing. As Sauron's power grows her strength wanes. Arwen's life is now tied to the fate of the Ring. The Shadow is upon us Aragorn. The end has come.;The Return of the King
ELROND;ArwenTollen i l?. I chair gwannar na Valannor. Si bado, no c?rar.;The Two Towers
ELROND;He is not coming back. Why do you linger here when there is no hope?;The Two Towers
ELROND;If Aragorn survives this war, you will still be parted.f Sauron is defeated and Aragorn made king.and all that you hope for comes true.you will still have to taste the bitterness of mortality.;The Two Towers
ELROND;Arwen.,There is nothing for you here.only death.;The Two Towers
ELROND;A im,, -'erin veleth l?n?;The Two Towers
ELROND;Our time here is ending. Arwen's time is ending. Let her go. Let her take the ship into the west. Let her bear away her love for you to the Undying Lands. There it will be ever green.;The Two Towers
ELROND;I will not leave my daughter here to die.;The Two Towers
ELROND;She stays for you. She belongs with her people.;The Two Towers
ELROND;The Ringbearer is setting out on the quest of Mount Doom and you who travel with him,no oath nor bond is laid to go further than you will,Farewell. Hold to your purpose and may the blessings of elves and men, and all free folk go with you;The Fellowship of the Ring
ELROND;Strangers from distant lands, friends of old. You have been summoned here to answer the threat of Mordor. Middle Earth stands upon the brink of destruction. None can escape it. You will unite or you will fall. Each race is bound to this fate, this one doom., Bring forth the Ring, Frodo;The Fellowship of the Ring
